Roll No,Tool 1,Tool 2,Tool 3,Final Selected Tool ,
20BCM001,Nifty ,Microsoft Project ,ProofHub ,Microsoft Project ,
20BCM003,trello.com,Monday.com,microsoft project ,Monday.com,
20BCM004,ProofHub ,Monday.com,Zoho,ProofHub ,
20BCM007,Trello,Asana,Wrike,Trello,
20BCM008,TRELLO,filestage ,WORKZONE,TRELLO,
20BCM009,Asana,Project Insight,Wrike,Asana,
20BCM010,WAYDEV,SLACK,WRIKE,WAYDEV,
20BCM011,JIRA,TRELLO,ASANA,JIRA,
20BCM012,Hive,Click-up,Planless,,
20BCM013,Monday.com,Airtable,Wrike,Airtable,
20BCM015,Microsoft Projects,TRELLO,Zoho,Microsoft Projects,
20BCM016,JIRA,Backlog,ClickUp,Backlog,
20BCM017,basecamp ,Nutcache,proprofs project,proprofs project,
20BCM018,Microsoft Projects,Trello,Asana,Asana,
20BCM019,ClickUp,Airtable,Trello,ClickUp,
20BCM020,Notion,Airtable,Asana,Notion,
20BCM021,Scoro,filestage ,nTask,scoro,
20BCM022,JIRA,Asana,ClickUp,JIRA,
20BCM023,Wrike,Monday,Github,Github,
20BCM024,Basecamp ,Wrike,Jira,Jira,
20BCM025,JIRA,Function fox,Airtable ,Airtable ,
20BCM026,Github,Zoho,JIRA,JIRA,
20BCM028,Asana,Hive,Wrike,Asana,
20BCM029,Asana,Meistertask,Monday.com,Monday.com,
20BCM030,jira,"monday,com",clickup,jira,
20BCM032,JIRA,ASANA,Click up,JIRA,
20BCM033,Monday.com,git,Microsoft Projects,Monday.com,
20BCM034,Wrike,Asana,Teamwork,Teamwork,
20BCM035,Asana,Trello,Monday.com,Asana,
20BCM037,Jira,Wrike,Trello,Wrike,
20BCM038,Scoro,Asana,JIRA,Scoro,
20BCM040,kissflow,jira,proofhub,proofhub,
20BCM041,JIRA,Trello,Asana,JIRA,
20BCM043,AzureDevops,Zoho projects,JIRA,AzureDevops ,
20BCM044,JIRA,Asana,Trello,JIRA,
20BCM045,AzureDevops,Jira,Wrike,Wrike,
20BCM046,celoxis,Trello,Asana,Celoxis,
20BCM047,Trello,Asana,Wrike,Trello,
20BCM048,Jira,VSTS,Zoho,Jira,
20BCM049,Asana,Liquid Planner,Zoho projects,Asana,
20BCM050,Monday.com,Asana,Clickup,Asana,
20BCM051,Trello,zoho project,Microsoft Project,Zoho Project,
20BCM052,Active collab,Trello,Cage,Trello,
20BCM053,wrike,projectmanager,microsoft project,projectmanager,
20BCM054,Asana,Wrike,Zoho Projects,Zoho Projects,
20BCM055,Asana,Wrike,Monday.com,Monday.com,
20BCM056,CLICKUP,MEISTERTASK,MONDAY,CLICKUP,
20BCM057,Asana,Basecamp,Jira,Asana,
20BCM058,Jira,Asana,Basecamp,JIRA,
20BCM059,Microsoft Projects,JIRA,Wrike,JIRA,
20BCM060,Zoho,Smartsheet,ProofHub,Zoho,
20BCM061,Jira ,Basecamp,Linear.app,Jira,
20BCM062,JIRA,Trello,Asana,JIRA,
20BCM063,wrike,trello,basecamp,wrike,
20BCM064,JIRA,Wrike,RestyaBoard,RestyaBoard,
20BCM065,JIRA,ZOHO Projects,OpenProject,JIRA,(4th tool - Trello)
20BCM067,Trello,Asana,Basecamp,Asana,
20BCM068,Asana,Jira,Wrike ,Jira,
20BCM069,Asana,Trello,JIRA,JIRA,
20BCM070,Jira,Podio,KissFlow,Jira,
20BCM071,TRELLO,JIRA,MS PROJECTS,JIRA,
20BCM072,Redmine,JIRA,LiquidPlanner,Liquid Planner,
20BCM073,basecamp ,Jira,Zoho ,Zoho,
20BCM074,Teamwork,Basecamp,ClickUp,ClickUp,
20BCM076,Wrike,Zoho,Monday.com,monday.com,
20BCM077,Clarizen,Airtable,Zenkit,Zenkit,
20BCM078,Cerebro,Trello,Slack,Cerebro,
20BCM080,TRELLO ,WRIKE,PODIO,WRIKE,
20BCM081,SCORO,zoho,TRELLO,TRELLO,
20BCM082,Trello,Active collab,Jira,Trello ,
20BCM083,Asana,Zoho Projects,Jira,Asana,
20BCM084,Teamwork,Jira,Zoho,Jira,
20BCM085,JIRA,Asana,Trello,JIRA,
20BCM086,TimeCamp,Cage,ClickUp,ClickUp,
20BCM087,Zoho,toggl plan,monday.com,Zoho,
20BCM088,FUNCTION FOX,TRELLO,LIQUID PLANNER,TRELLO,
20BCM089,Jira,Asana,Basecamp,Asana,
20BCM090,GitHub Issues,Jira,Trello,GitHub Issues,
20BCM091,ProofHub ,nTask,Zoho Projects,ProofHub,
20BCM036,Proofhub ,Teamwave,Filestage,Proofhub ,